codigo_ibge,longitude,latitude,area_km2,altitude_media_m,altitude_minima_m,amplitude_altitude_m,declividade_m_por_km,celulas_de_relevo,distancia_rio_km,distancia_rio_grande_km
1100015,-62.27511974781428,-12.4724434138968,7079.728992472403,246.15902709960938,143.0,367.0,9.275860385947702,1484,69.45873062006402,299.4495241040689
1100023,-62.95576650214146,-9.952411340810581,4411.024570227601,165.86399841308594,104.0,214.0,6.917926244657549,897,103.99526957153896,164.77852748638955
1100031,-60.641245036274796,-13.474969639215253,1315.5395154068246,227.60948181152344,172.0,383.0,7.666415468898911,274,22.354029694211082,452.0395862264189
1100049,-61.32533198334737,-11.301192285427414,3783.504129099194,229.81161499023438,166.0,187.0,8.181693379833755,775,20.922533324574253,386.0009376096138
1100056,-61.25939438568804,-13.202939867415783,2786.1272890493274,193.71701049804688,154.0,307.0,3.068397771562042,576,33.42474910127616,409.13313005903655
1100064,-60.54888786181224,-13.159346380957333,1453.1801098352298,366.03961181640625,212.0,347.0,14.98932526833425,303,50.32806488375197,484.2167968302969
1100072,-61.0902563374377,-12.926863975738739,3046.923553582281,267.960693359375,170.0,348.0,10.775513508534987,636,60.11920730945907,425.6609832463069
1100080,-64.05884581794146,-12.14655770879781,4983.874391440302,191.13223266601562,129.0,383.0,8.78033161810239,1036,38.57348289294344,105.5488357663717
1100098,-60.78496170095796,-11.35143618330898,4522.968867616728,295.4994812011719,177.0,349.0,14.592159784627222,949,48.47047713056215,429.3348176724233
1100106,-64.53788503093678,-11.304497366344743,24820.704659116454,198.52655029296875,0.0,1052.0,7.866634965296132,5141,75.97392133307375,75.97392133307375
1100114,-62.5828224849345,-10.590562516026484,2932.9742456222884,205.5408477783203,125.0,332.0,8.144377331050258,612,74.90744919859621,243.5870869231422
1100122,-61.757179842493265,-10.46239335918139,6885.161263393238,192.3385009765625,77.0,341.0,9.035683652292414,1418,3.5591063342734794,285.33509772483234
1100130,-62.01057693213981,-9.20474351451339,8541.108270069584,136.71493530273438,57.0,182.0,5.007373769280563,1761,24.25624890035456,161.41412207260294
